Word,POS,Prefer
Aachen,,P
Aalborg,,'O:lbO:rg
Aalesund,,'O:l@sUn
aalii,,P
aa,,P
Aaronical,,P
Aaronic,,P
abaca,,ab@k'A
abacist,,P
abacus,,P
Abadan,,P
aba,,P
abasia,,@b'eIZ@
abatises,,P
abatjour,,P
abattoir,,'ab@twAr
abbe,,P
Abdias,,P
abdominal,,P
Abdul,,abd'Ul
abecedarian,,P
abecedarium,,P
abecedary,,P
abele,,B
abelian,,P
Abeokuta,,AbeI'oUkUtA
abfarad,,abf'ar@d
abhor,,P
abhorrence,,P
Abib,,Av'i:v
Abidjan,,abIdZ'An
abiogenesis,,P
abiogenetic,,eIbaIoUdZ@n'EtIk
abiogenist,,eIbaI'QdZ@nIst
abiosis,,P
abiotic,,eIbaI'QtIk
abirritant,,P
abjuration,,P
abjure,,P
ablatival,,P
ablative,n,B
ablaut,,P
abnegate,,B
abnormality,,P
abnormal,,P
abnormity,,P
abomasum,,P
abomasus,,P
abortifacient,,a#bO:rt@f'eIS@nt
abram,,B
abranchial,,P
abranchiate,,P
abrazo,,@br'AsoU
Abruzzi,,P
abseil,,P
absolutory,,abs'Qlj@tori:
absolve,,P
absorbance,,P
absorbedly,,P
absorbefacient,,P
absorbency,,@bs'O:rb@nsi:
absorbent,,abs'O:rb@nt
absorb,,P
absorptance,,P
absorptiometer,,absO:rpSi:'QmIt@`
absorption,,P
absorptivity,,P
abstersion,,A
abstracted,,A
Abukir,,P
abwatt,,B
academe,,P
acalephe,,P
acaleph,,P
acanthine,,B
acanthocephalan,,a#kanT@s'Ef@l@n
acanthopterygian,,ak@nTQpt@`'IdZi:@n
acappella,,P
acariasis,,P
acarophobia,,ak@`@f'oUbi:@
acarpelous,,P
acarpous,,P
acarus,,P
acaulous,,P
accelerative,,P
acceleratory,,P
accentor,,P
acclamatory,,P
acclimatize,,P
acclivous,,P
accommodative,,P
accompaniment,,a#k'Vmp@nIm@nt
accompanist,,P
accompt,,P
accordion,,P
accord,,P
accouchement,,a#k'u:Sm@nt
accoucheur,,P
accoucheuse,,P
accouplement,,P
accretion,,P
accuracy,,P
accurate,,'akj@`It
accusatival,,a#kju:z@t'aIv@l
ac,,D
acequia,,P
acerbic,,B
acerb,,P
acetamid,,as'Et@mId
acetamide,,as'Et@maId
acetaminophen,,a#si:t@m'In@f@n
acetanilide,,P
acetanilid,,P
acetate,,B
acetazolamide,,P
acetonitrile,,P
acetophenetidin,,P
acetose,,P
acetum,,P
acetylate,,P
acetylenic,,a#sEt@l'EnIk
acetylide,,P
acetyl,,P
Achaea,,P
Achaemenian,,P
Achaemenid,,P
Achaian,,P
achalasia,,P
Achates,,P
Achebe,,AtS'eIbeI
Achelous,,P
achene,,P
achenial,,eIk'i:ni:@l
achillea,,P
Achitophel,,P
achlorhydria,,P
acholia,,P
achondroplasia,,eIkQndr@pl'eIZ@
achondroplastic,,eIkQndr@pl'astIk
achromatize,,P
achromatous,,P
Achromycin,,P
acidimetry,,P
acidophil,,B
acidophilic,,B
aciduria,,asId'U:ri:@
acinaciform,,P
acoelous,,P
acoemeti,,D
Aconcagua,,AkQnk'AgwA
Acosta,,P
acriflavine,,P
Acrilan,,P
acrimony,,P
acrobatically,,P
acromegalic,,P
acronymous,,B
acropetal,,P
acroterion,,akr@t'i:ri:Qn
Actaeon,,P
actiniform,,P
actinobacillosis,,aktInoUbas@l'oUsIs
actinobacillus,,aktInoUb@s'Il@s
actinochemistry,,aktInoUk'EmIstri:
actinolite,,P
actinomorphic,,aktInoUm'O:rfIk
actinomyces,,aktInoUm'aIsi:z
actinomycete,,aktInoUm'aIsi:t
actinomycosis,,aktInoUmaIk'oUsIs
actinomycotic,,aktInoUmaIk'QtIk
actinon,,'aktI#nQn
actinopod,,akt'In@pQd
actinotherapy,,aktInoUT'Er@pi:
actinouranium,,aktInoUjUr'eIni:@m
actinozoan,,aktIn@z'oU@n
actomyosin,,P
actuary,,'aktSu:Eri:
actuate,,B
acumen,,P
acuminate,,P
acuminous,,P
acupuncture,,'akjUpVNktS@`
acyclovir,,a#s'aIkl@vIr
adactylous,,P
Adamite,,P
adamsite,,P
Adana,,'AdAnA
Adan,,D
Adapa,,D
adarbitrium,,P
Adderley,,A
addict,v,P
additament,,P
addorsed,,@d'O:rsd
adduct,v,B
adelantado,,P
Adenauer,,D
adenocarcinoma,,P
adenocarcinomatous,,P
adenomatous,,P
adenosine,,P
adenovirus,,P
adequate,,'ad@kwIt
adermin,,P
Adidas,,D
adieu,,@d'U:
Adige,,P
adigranth,,P
adipocere,,'adI#poUsi:r
adipose,,'adI#poUs
adjudicative,,@dZ'u:dI#keItIv
adjunct,,P
adjure,,P
adjutage,,'adZ@tIdZ
Adlerian,,P
Admetus,,P
administrative,,P
admissibility,,a#dmIs@b'Il@ti:
Adolf,,B
Adolfo,,D
Adonai,,AdO:n'aI
Adowa,,P
adrenalin,,P
adrenocorticotrophic,,a#dri:noUkO:rtIkoUtr'QfIk
adrenocorticotrophin,,a#dri:noUkO:rtIkoUtr'QfIn
adrenocorticotropic,,a#dri:noUkO:rtIkoUtr'QpIk
Adriana,,P
Adrianople,,P
Adriatic,,P
adsorbate,,P
adsorb,,P
adsorption,,P
adsum,,P
adult,,B
adumbral,,P
adumbrate,,P
adumbrative,,P
Aduwa,,P
adventitia,,P
adversaria,,adv@`s'Ari:@
adversary,,P
adversity,,P
advert,,adv'3:t
advocaat,,P
advocate,n,'adv@kIt
advocatory,,adv'Qk@tori:
advowson,,P
adynamia,,adIn'eImi:@
adynamic,,adIn'amIk
aeciospore,,P
aecium,,B
ae,,D
aedes,,P
Aegaeon,,IdZ'i:@n
Aegina,,i:dZ'aIn@
Aeginetan,,P
Aegir,,P
Aegisthus,,P
Aegospotami,,i:g@sp'Qt@maI
Aegyptus,,P
Aeneas,,In'i:@z
Aeneid,,In'i:Id
Aeneolithic,,P
aeneous,,P
Aeolus,,P
aepyornis,,P
aerenchyma,,P
aerodontia,,e@@d'QnS@
aeronaut,,'e@@nO:t
aeronautical,,e@@n'O:tIk@l
aeronautic,,e@@n'O:tIk
aerophore,,P
aerophyte,,P
Aeschines,,P
Aeschylean,,P
Aeschylus,,P
afebrile,,P
affettuoso,,P
afflatus,,P
affricate,,'afrIkIt
affronte,,D
aficionada,,a#fISj@n'Ad@
aficionado,,a#fISj@n'AdoU
afikomen,,P
Africander,,P
Afrikaans,,P
Afrikander,,P
Afrikaner,,P
afrit,,P
afrormosia,,P
Agadir,,P
agalloch,,P
agamete,,P
agamid,,P
agamogenesis,,P
agamous,,P
agamy,,P
Agana,,B
agapanthus,,P
agape,n,P
Agassi,,P
Agassiz,,'ag@si:
agate,,'agIt
Agatha,,P
agave,,@g'Avi:
agaze,,P
agee,,@dZ'i:
agentival,,P
aggada,,B
aggadah,,a#g'Ad@
agglomerative,,P
agglutinate,aj,a#gl'u:tI#nIt
agglutinative,,@gl'u:tI#neItIv
agglutinogen,,P
aggravate,,P
agha,,P
agiotage,,P
agley,,P
agminate,,B
Agnes,,P
agnize,,P
agnomen,,P
agnominal,,P
agone,,P
agonic,,eIg'QnIk
agon,,P
agoraphobe,,P
agoraphobia,,ag@`@f'oUbi:@
agoroth,,D
agouta,,P
agouti,,P
agouty,,P
agraffe,,P
Agram,,P
agranulocytosis,,a#granj@loUsaIt'oUsIs
agrapha,,P
agraphia,,P
agrege,,P
agremens,,AgreIm'AN
agrement,,P
Agrigento,,P
agrimony,,'agrI#moUni:
Agrippa,,P
Agrippina,,P
agroindustrial,,B
aguacate,,D
Aguascalientes,,AgwAskAlj'EntEs
Aguilar,,D
Aguinaldo,,Agi:n'AldoU
Aguirre,,D
aguish,,P
Agulhas,,P
Agustin,,P
Ahasuerus,,a#hazju:'i@@s
ahchoo,,P
ahh,,B
ahimsa,,P
ahistoric,,P
Ahithophel,,P
Ahmed,,'AmEd
Ahmednagar,,P
ahorse,,P
ahungered,,P
Ahvenanmaa,,P
Ahwaz,,P
aias,,P
ai,,D
Aidoneus,,P
aidos,,P
aiguille,,P
aiguillette,,P
Aiken,,B
aikido,,aIk'i:doU
ailanthus,,P
Aileen,,eIl'i:n
ailurophile,,aIl'Ur@faIl
ailurophilia,,P
ailurophilic,,P
ailurophobe,,P
ailurophobia,,P
Aintab,,P
Ainu,,P
ais,,'Ai:z
Aisha,,P
aisle,,P
aisling,,B
Aisne,,P
Aitken,,B
Ajaccio,,Aj'AtSoU
ajiva,,P
Ajmer,,P
aka,,D
akela,,P
akene,,P
akinesia,,P
akinetic,,P
Akiva,,P
Akkerman,,Ak@`m'An
Akmolinsk,,D
Akron,,P
Aksum,,P
alabamine,,P
alackaday,,P
alae,,P
Alagez,,P
Alagoas,,P
Alamein,,Al@m'eIn
Alamogordo,,P
alanine,,P
ala,,P
alar,,'eIl@`
alastor,,P
alastrim,,P
alate,,P
Albacete,,AlvAT'EtE
Albany,,B
albatross,,P
albee,,D
albeit,,B
albergo,,Alb'ErgoU
Alberich,,P
Alberti,,P
Albigenses,,P
Albinus,,P
Albi,,P
albumen,,P
albuminous,,P
albumin,,P
albuminuria,,P
alburnum,,P
alcade,,P
Alcaeus,,P
alchemically,,B
alchemist,,'alk@mIst
Alcoa,,D
Alden,,B
alder,,A
aldermanic,,A
aldermanry,,A
Alderney,,A
Aldine,,'O:ldaIn
Aldo,,B
aldrin,,B
aleatoric,,eIli:@t'QrIk
aleatory,,'eIli:@tori:
alencon,,P
aleuron,,alj@`Qn
alexandrine,,B
Alfreda,,D
Algeciras,,P
Algeria,,B
algerine,,P
Algonquian,,P
alienage,,P
alienation,,eIlj@n'eIS@n
alien,,'eIlj@n
alienor,,P
aliment,,'alI#m@nt
alimentation,,alI#mEnt'eIS@n
alimony,,'alI#moUni:
aliquot,,'alIkw@t
alkalimeter,,alk@l'ImIt@`
Alkmaar,,P
alkyl,,P
allantoic,,P
Allegheny,,P
allegory,,'al@gori:
allele,,B
alleviative,,P
Allhallowtide,,B
Allier,,P
allis,,D
alliterative,,P
allonge,,'alVndZ
Alloway,,'al@weI
alloy,v,P
ally,v,P
almanac,,'O:lm@nak
almandine,,P
almandite,,P
almirah,,alm'aIr@
almost,,B
alms,,B
already,,B
alright,,B
alt,,'alt
alteration,,O:lt@`'eIS@n
alternation,,O:lt@`n'eIS@n
alternative,,B
altern,,'O:lt@`n
alter,,'O:lt@`
altissimo,,alt'IsI#moU
altitudinal,,altIt'U:d@n@l
altogether,,A
aluminate,,@l'u:mI#nIt
aluminosilicate,,a#lu:mInoUs'IlI#keIt
aluminothermy,,@l'u:mI#n@T3:mi:
Alvaro,,D
alway,,B
Alzheimer,,A
amain,,P
amanuensis,,a#manju:'EnsIs
amate,,P
amateur,,'am@tSUr
amateurish,,amtS'UrIS
amaurosis,,amO:r'oUsIs
amaurotic,,amO:r'QtIk
amboina,,B
ambulatory,,'ambj@l@tori:
ambuscade,,B
ameliorate,,P
amelioration,,a#mi:lj@`'eIS@n
ameliorative,,P
amental,,P
ament,,'eIm@nt
americanization,,B
amidogen,,P
amidol,,'amIdQl
amie,,am'i:
amine,,P
aminophylline,,a#mi:noUf'IlaIn
aminoplast,,P
aminopyrine,,a#mi:noUp'aIri:n
Amish,,B
amitriptyline,,amItr'Ipt@li:n
amman,,Am'An
ammoniacum,,am@n'aI@:k@m
amortization,,P
amourette,,D
amphibole,,'amfI#boUl
amphibrach,,'amfI#brak
amphichroic,,amfIkr'oUIk
amphigory,,'amfI#gori:
amphitheater,,A
amplexicaul,,ampl'EksI#kO:l
Amundsen,,'Am@nds@n
amusive,,P
amylase,,B
amylose,,'amIloUs
amylum,,'amIl@m
amyotrophic,,amaI@tr'QfIk
anabiotic,,an@b'aIQtIk
Anacin,,D
anacoluthon,,an@k@l'u:TQn
anadyomene,,an@daI'Qm@ni:
anaerobe,,'an@`oUb
anaerobic,,an@`'oUbIk
analgesic,,B
anaplasia,,an@pl'eIZ@
anastigmatic,,A
anatropous,,P
Anaximander,,a#naks@m'and@`
anchusa,,aNkj'u:z@
ancona,,aNk'oUn@
ancylostomiasis,,ansIlQst@m'aI@sIs
andesine,,'and@zi:n
andesite,,'and@zaIt
andesitic,,and@z'ItIk
Andre,,A
anecdotal,,B
anecdote,,B
anent,,P
anesthesia,,an@sT'i:Z@
anesthetist,,@n'EsT@tIst
anesthetize,,@n'EsT@taIz
Aneto,,D
